[00:47:45] Data generators loaded from CSV files
[00:47:45] Welcome to Real-Time Model Training Interface!
[00:47:45] Select a model and configure parameters to begin training.
[00:48:19] Loading proposed model...
[00:48:22] Proposed Siamese CapsNet + MobileNetV2 loaded successfully.
[00:48:28] Reloading data generators with current batch size...
[00:48:43] Data generators loaded from CSV files
[00:48:43] Model directory created: models\Proposed Siamese CapsNet + MobileNetV2_20251008_004843
[00:48:43] Starting training for 50 epochs...
[00:48:43] Preparing model and data for training...
[00:48:45] [RoutingEntropy] mean_norm_entropy=0.9839
[00:48:47] Adaptive threshold mechanism enabled
[00:48:47] Batch sizes - Train: 32, Val: 16
[00:48:47] Data ready - Train: 625 batches, Val: 625 batches
[00:48:47] Training with learning rate: 5.00e-05
[00:48:47] Mixed precision training enabled
[00:48:47] Starting training with 50 epochs...
[00:48:47] Model parameters: 5,643,785
[00:48:47] [Pre-Train Distances] n=16 min=0.02453 max=0.20882 mean=0.08030 std=0.04960 spread=0.18429
[00:48:47] Models will be saved to: models\Proposed Siamese CapsNet + MobileNetV2_20251008_004843\models
[00:48:47] Training started - Preparing data...
[00:48:47] [ThresholdSync] Epoch 1: train threshold (dist) = 0.5000
[00:48:47] Starting Epoch 1...
[00:49:19]    Batch 0: Loss 1.0934
[00:50:43]    Batch 20: Loss 1.0788
[00:52:03]    Batch 40: Loss 1.0620
[00:53:21]    Batch 60: Loss 1.0470
[00:54:39]    Batch 80: Loss 1.0330
[00:55:56]    Batch 100: Loss 1.0199
[00:57:14]    Batch 120: Loss 1.0075
[00:58:32]    Batch 140: Loss 0.9954
[00:59:49]    Batch 160: Loss 0.9838
[01:01:05]    Batch 180: Loss 0.9724
[01:02:22]    Batch 200: Loss 0.9612
[01:03:39]    Batch 220: Loss 0.9503
[01:04:55]    Batch 240: Loss 0.9396
[01:06:12]    Batch 260: Loss 0.9291
[01:07:28]    Batch 280: Loss 0.9189
[01:08:45]    Batch 300: Loss 0.9087
[01:10:01]    Batch 320: Loss 0.8988
[01:11:17]    Batch 340: Loss 0.8891
[01:12:34]    Batch 360: Loss 0.8795
[01:13:51]    Batch 380: Loss 0.8700
[01:15:08]    Batch 400: Loss 0.8607
[01:16:24]    Batch 420: Loss 0.8516
[01:17:41]    Batch 440: Loss 0.8426
[01:18:57]    Batch 460: Loss 0.8338
[01:20:14]    Batch 480: Loss 0.8251
[01:21:31]    Batch 500: Loss 0.8165
[01:22:47]    Batch 520: Loss 0.8080
[01:24:04]    Batch 540: Loss 0.7997
[01:25:20]    Batch 560: Loss 0.7915
[01:26:37]    Batch 580: Loss 0.7834
[01:27:53]    Batch 600: Loss 0.7755
[01:29:10]    Batch 620: Loss 0.7676
[01:46:43] [Val Epoch 1] raw_min=0.0030 raw_max=0.9999 mode=dist->sim thr_score=0.640 thr_dist=0.445 f1=0.8790 auc=0.9464 acc=0.8790 edge_fb=0
[01:46:46] Epoch 1/50: loss=0.7661, val_loss=0.5329, acc=0.7287, val_acc=0.8790, val_f1=0.8790, val_auc=0.9464, thr=0.445, precision=0.7705, recall=0.6514 [3476.4s/epoch, ETA: 2839.1min]
[01:46:54] [ThresholdSync] Epoch 2: train threshold (dist) = 0.4448
[01:46:55] Starting Epoch 2...
[01:46:55]    Batch 0: Loss 0.5206
[01:48:11]    Batch 20: Loss 0.5176
[01:49:28]    Batch 40: Loss 0.5116
[01:50:46]    Batch 60: Loss 0.5058
[01:52:03]    Batch 80: Loss 0.5003
[01:53:21]    Batch 100: Loss 0.4948
[01:54:38]    Batch 120: Loss 0.4895
[01:55:58]    Batch 140: Loss 0.4840
[01:57:21]    Batch 160: Loss 0.4787
[01:58:40]    Batch 180: Loss 0.4735
[01:59:57]    Batch 200: Loss 0.4684
[02:01:13]    Batch 220: Loss 0.4633
[02:02:31]    Batch 240: Loss 0.4584
[02:03:47]    Batch 260: Loss 0.4535
[02:05:04]    Batch 280: Loss 0.4486
[02:06:20]    Batch 300: Loss 0.4439
[02:07:37]    Batch 320: Loss 0.4392
[02:08:53]    Batch 340: Loss 0.4346
[02:10:09]    Batch 360: Loss 0.4301
[02:11:26]    Batch 380: Loss 0.4257
[02:12:43]    Batch 400: Loss 0.4212
[02:13:59]    Batch 420: Loss 0.4169
