[03:30:58] Data generators loaded from CSV files
[03:30:58] Welcome to Real-Time Model Training Interface!
[03:30:58] Select a model and configure parameters to begin training.
[03:31:09] Loading proposed model...
[03:31:12] Proposed Siamese CapsNet + MobileNetV2 loaded successfully.
[03:31:18] Reloading data generators with current batch size...
[03:31:26] Data generators loaded from CSV files
[03:31:26] Model directory created: models\Proposed Siamese CapsNet + MobileNetV2_20251006_033126
[03:31:26] Starting training for 50 epochs...
[03:31:26] Preparing model and data for training...
[03:31:28] [RoutingEntropy] mean_norm_entropy=0.9933
[03:31:29] Adaptive threshold mechanism enabled
[03:31:29] Batch sizes - Train: 32, Val: 16
[03:31:29] Data ready - Train: 625 batches, Val: 625 batches
[03:31:29] Training with learning rate: 5.00e-05
[03:31:29] Mixed precision training enabled
[03:31:29] Starting training with 50 epochs...
[03:31:29] Model parameters: 3,242,585
[03:31:29] [Pre-Train Distances] n=16 min=0.03415 max=0.10730 mean=0.05726 std=0.01982 spread=0.07315
[03:31:29] Models will be saved to: models\Proposed Siamese CapsNet + MobileNetV2_20251006_033126\models
[03:31:29] Training started - Preparing data...
[03:31:29] [ThresholdSync] Epoch 1: train threshold (dist) = 0.5000
[03:31:29] Starting Epoch 1...
[03:31:45]    Batch 0: Loss 1.0882
[03:32:02]    Batch 20: Loss 1.0702
[03:32:19]    Batch 40: Loss 1.0532
[03:32:36]    Batch 60: Loss 1.0371
[03:32:52]    Batch 80: Loss 1.0227
[03:33:08]    Batch 100: Loss 1.0091
[03:33:24]    Batch 120: Loss 0.9964
[03:33:41]    Batch 140: Loss 0.9841
[03:33:57]    Batch 160: Loss 0.9722
[03:34:14]    Batch 180: Loss 0.9607
[03:34:30]    Batch 200: Loss 0.9494
[03:34:46]    Batch 220: Loss 0.9385
[03:35:02]    Batch 240: Loss 0.9278
[03:35:19]    Batch 260: Loss 0.9174
[03:35:35]    Batch 280: Loss 0.9071
[03:35:51]    Batch 300: Loss 0.8971
[03:36:07]    Batch 320: Loss 0.8871
[03:36:24]    Batch 340: Loss 0.8774
[03:36:41]    Batch 360: Loss 0.8679
[03:36:57]    Batch 380: Loss 0.8585
[03:37:13]    Batch 400: Loss 0.8492
[03:37:30]    Batch 420: Loss 0.8401
[03:37:47]    Batch 440: Loss 0.8312
[03:38:03]    Batch 460: Loss 0.8224
[03:38:19]    Batch 480: Loss 0.8138
[03:38:35]    Batch 500: Loss 0.8052
[03:38:51]    Batch 520: Loss 0.7969
[03:39:07]    Batch 540: Loss 0.7886
[03:39:23]    Batch 560: Loss 0.7804
[03:39:40]    Batch 580: Loss 0.7724
[03:39:56]    Batch 600: Loss 0.7645
[03:40:12]    Batch 620: Loss 0.7568
[03:52:55] [Val Epoch 1] raw_min=0.0021 raw_max=0.9999 mode=dist->sim thr_score=0.650 thr_dist=0.441 f1=0.9011 auc=0.9563 acc=0.9010 edge_fb=0
[03:52:58] Epoch 1/50: loss=0.7552, val_loss=0.5236, acc=0.7706, val_acc=0.9010, val_f1=0.9011, val_auc=0.9563, thr=0.441, precision=0.7904, recall=0.7364 [1285.4s/epoch, ETA: 1049.8min]
[03:53:06] [ThresholdSync] Epoch 2: train threshold (dist) = 0.4405
[03:53:06] Starting Epoch 2...
[03:53:06]    Batch 0: Loss 0.5170
[03:53:18]    Batch 20: Loss 0.5091
[03:53:34]    Batch 40: Loss 0.5028
[03:53:50]    Batch 60: Loss 0.4969
[03:54:07]    Batch 80: Loss 0.4914
[03:54:23]    Batch 100: Loss 0.4858
[03:54:39]    Batch 120: Loss 0.4804
