[17:27:36] Data generators loaded from CSV files
[17:27:36] Welcome to Real-Time Model Training Interface!
[17:27:36] Select a model and configure parameters to begin training.
[17:27:49] Loading proposed model...
[17:28:00] Proposed Siamese CapsNet + MobileNetV2 loaded successfully.
[17:28:50] Reloading data generators with current batch size...
[17:29:01] Data generators loaded from CSV files
[17:29:01] Model directory created: models\Proposed Siamese CapsNet + MobileNetV2_20251006_172901
[17:29:01] Starting training for 50 epochs...
[17:29:01] Preparing model and data for training...
[17:29:03] [RoutingEntropy] mean_norm_entropy=0.9892
[17:29:05] Adaptive threshold mechanism enabled
[17:29:05] Batch sizes - Train: 32, Val: 16
[17:29:05] Data ready - Train: 625 batches, Val: 625 batches
[17:29:05] Training with learning rate: 5.00e-05
[17:29:05] Mixed precision training enabled
[17:29:05] Starting training with 50 epochs...
[17:29:05] Model parameters: 9,294,393
[17:29:05] [Pre-Train Distances] n=16 min=0.01512 max=0.06427 mean=0.03678 std=0.01585 spread=0.04915
[17:29:05] Models will be saved to: models\Proposed Siamese CapsNet + MobileNetV2_20251006_172901\models
[17:29:05] Training started - Preparing data...
[17:29:05] [ThresholdSync] Epoch 1: train threshold (dist) = 0.5000
[17:29:05] Starting Epoch 1...
[17:29:21]    Batch 0: Loss 1.3188
[17:29:53]    Batch 20: Loss 1.2816
[17:30:26]    Batch 40: Loss 1.2503
[17:30:56]    Batch 60: Loss 1.2209
[17:31:25]    Batch 80: Loss 1.1951
[17:31:57]    Batch 100: Loss 1.1720
[17:32:28]    Batch 120: Loss 1.1510
[17:33:02]    Batch 140: Loss 1.1314
[17:33:34]    Batch 160: Loss 1.1128
[17:34:06]    Batch 180: Loss 1.0951
[17:34:38]    Batch 200: Loss 1.0781
[17:35:09]    Batch 220: Loss 1.0617
[17:35:41]    Batch 240: Loss 1.0459
[17:36:13]    Batch 260: Loss 1.0306
[17:36:45]    Batch 280: Loss 1.0157
[17:37:15]    Batch 300: Loss 1.0012
[17:37:44]    Batch 320: Loss 0.9871
[17:38:14]    Batch 340: Loss 0.9733
[17:38:45]    Batch 360: Loss 0.9599
[17:39:16]    Batch 380: Loss 0.9468
[17:39:45]    Batch 400: Loss 0.9340
[17:40:14]    Batch 420: Loss 0.9215
[17:40:44]    Batch 440: Loss 0.9092
[17:41:13]    Batch 460: Loss 0.8973
[17:41:42]    Batch 480: Loss 0.8856
[17:42:12]    Batch 500: Loss 0.8741
[17:42:41]    Batch 520: Loss 0.8629
[17:43:11]    Batch 540: Loss 0.8520
[17:43:41]    Batch 560: Loss 0.8413
[17:44:11]    Batch 580: Loss 0.8308
[17:44:41]    Batch 600: Loss 0.8205
[17:45:10]    Batch 620: Loss 0.8105
