[23:41:36] Data generators loaded from CSV files
[23:41:36] Welcome to Real-Time Model Training Interface!
[23:41:36] Select a model and configure parameters to begin training.
[23:43:43] Loading proposed model...
[23:43:46] Proposed Siamese CapsNet + MobileNetV2 loaded successfully.
[23:43:48] Reloading data generators with current batch size...
[23:44:00] Data generators loaded from CSV files
[23:44:00] Model directory created: models\Proposed Siamese CapsNet + MobileNetV2_20251006_234400
[23:44:00] Starting training for 50 epochs...
[23:44:00] Preparing model and data for training...
[23:44:02] [RoutingEntropy] mean_norm_entropy=0.9964
[23:44:04] Adaptive threshold mechanism enabled
[23:44:04] Batch sizes - Train: 32, Val: 16
[23:44:04] Data ready - Train: 625 batches, Val: 625 batches
[23:44:04] Training with learning rate: 5.00e-05
[23:44:04] Mixed precision training enabled
[23:44:04] Starting training with 50 epochs...
[23:44:04] Model parameters: 5,725,713
[23:44:04] [Pre-Train Distances] n=16 min=0.01842 max=0.07775 mean=0.04602 std=0.01284 spread=0.05933
[23:44:04] Models will be saved to: models\Proposed Siamese CapsNet + MobileNetV2_20251006_234400\models
[23:44:04] Training started - Preparing data...
[23:44:04] [ThresholdSync] Epoch 1: train threshold (dist) = 0.5000
[23:44:04] Starting Epoch 1...
[23:44:20]    Batch 0: Loss 1.7289
[23:44:46]    Batch 20: Loss 1.7047
[23:45:12]    Batch 40: Loss 1.6778
[23:45:38]    Batch 60: Loss 1.6516
[23:46:04]    Batch 80: Loss 1.6269
[23:46:30]    Batch 100: Loss 1.6036
[23:46:56]    Batch 120: Loss 1.5813
[23:47:22]    Batch 140: Loss 1.5596
[23:47:48]    Batch 160: Loss 1.5386
[23:48:14]    Batch 180: Loss 1.5183
[23:48:40]    Batch 200: Loss 1.4983
[23:49:07]    Batch 220: Loss 1.4789
[23:49:34]    Batch 240: Loss 1.4598
[23:50:03]    Batch 260: Loss 1.4412
[23:50:34]    Batch 280: Loss 1.4229
[23:51:03]    Batch 300: Loss 1.4050
[23:51:32]    Batch 320: Loss 1.3875
[23:52:02]    Batch 340: Loss 1.3703
[23:52:31]    Batch 360: Loss 1.3533
[23:53:00]    Batch 380: Loss 1.3367
[23:53:26]    Batch 400: Loss 1.3204
[23:53:52]    Batch 420: Loss 1.3043
[23:54:19]    Batch 440: Loss 1.2886
[23:54:46]    Batch 460: Loss 1.2731
[23:55:12]    Batch 480: Loss 1.2578
[23:55:38]    Batch 500: Loss 1.2429
[23:56:04]    Batch 520: Loss 1.2282
[23:56:30]    Batch 540: Loss 1.2137
[23:56:56]    Batch 560: Loss 1.1995
[23:57:22]    Batch 580: Loss 1.1855
[23:57:48]    Batch 600: Loss 1.1718
[23:58:15]    Batch 620: Loss 1.1582
[00:15:55] [Val Epoch 1] raw_min=0.0008 raw_max=0.9999 mode=dist->sim thr_score=0.560 thr_dist=0.476 f1=0.9116 auc=0.9663 acc=0.9115 edge_fb=0
[00:15:58] Epoch 1/50: loss=1.1555, val_loss=0.7444, acc=0.8046, val_acc=0.9115, val_f1=0.9116, val_auc=0.9663, thr=0.476, precision=0.8112, recall=0.7940 [1911.3s/epoch, ETA: 1561.0min]
[00:16:08] [ThresholdSync] Epoch 2: train threshold (dist) = 0.4762
[00:16:08] Starting Epoch 2...
[00:16:08]    Batch 0: Loss 0.7367
[00:16:28]    Batch 20: Loss 0.7269
[00:16:53]    Batch 40: Loss 0.7174
[00:17:19]    Batch 60: Loss 0.7081
[00:17:45]    Batch 80: Loss 0.6987
[00:18:10]    Batch 100: Loss 0.6895
[00:18:36]    Batch 120: Loss 0.6805
[00:19:02]    Batch 140: Loss 0.6716
[00:19:27]    Batch 160: Loss 0.6630
[00:19:53]    Batch 180: Loss 0.6545
[00:20:19]    Batch 200: Loss 0.6461
[00:20:44]    Batch 220: Loss 0.6379
[00:21:10]    Batch 240: Loss 0.6298
[00:21:35]    Batch 260: Loss 0.6217
[00:22:01]    Batch 280: Loss 0.6139
[00:22:25]    Batch 300: Loss 0.6062
[00:22:51]    Batch 320: Loss 0.5986
[00:23:16]    Batch 340: Loss 0.5912
[00:23:41]    Batch 360: Loss 0.5839
[00:24:06]    Batch 380: Loss 0.5767
[00:24:32]    Batch 400: Loss 0.5696
[00:24:57]    Batch 420: Loss 0.5627
[00:25:22]    Batch 440: Loss 0.5559
[00:25:47]    Batch 460: Loss 0.5492
[00:26:13]    Batch 480: Loss 0.5427
[00:26:38]    Batch 500: Loss 0.5362
[00:27:03]    Batch 520: Loss 0.5299
[00:27:28]    Batch 540: Loss 0.5236
[00:27:54]    Batch 560: Loss 0.5175
[00:28:19]    Batch 580: Loss 0.5115
[00:28:44]    Batch 600: Loss 0.5055
[00:29:09]    Batch 620: Loss 0.4997
[00:46:50] [Val Epoch 2] raw_min=0.0008 raw_max=0.9999 mode=dist->sim thr_score=0.500 thr_dist=0.486 f1=0.9306 auc=0.9728 acc=0.9305 edge_fb=0
[00:46:54] Epoch 2/50: loss=0.4986, val_loss=0.3255, acc=0.9201, val_acc=0.9305, val_f1=0.9306, val_auc=0.9728, thr=0.486, precision=0.9315, recall=0.9068 [1849.9s/epoch, ETA: 1506.3min]
[00:47:07] [ThresholdSync] Epoch 3: train threshold (dist) = 0.4858
[00:47:07] Starting Epoch 3...
[00:47:07]    Batch 0: Loss 0.3171
[00:47:23]    Batch 20: Loss 0.3134
[00:47:48]    Batch 40: Loss 0.3093
[00:48:14]    Batch 60: Loss 0.3054
[00:48:39]    Batch 80: Loss 0.3016
[00:49:05]    Batch 100: Loss 0.2976
[00:49:31]    Batch 120: Loss 0.2938
[00:49:56]    Batch 140: Loss 0.2899
[00:50:21]    Batch 160: Loss 0.2863
[00:50:46]    Batch 180: Loss 0.2828
[00:51:11]    Batch 200: Loss 0.2793
[00:51:36]    Batch 220: Loss 0.2759
